rank,S1,subtype,y,path
36,-15.6214,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame008.jpg
37,-15.4383,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame004.jpg
38,-15.3861,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame006.jpg
39,-15.3856,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame010.jpg
40,-15.2545,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame005.jpg
41,-15.0736,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame009.jpg
42,-14.9961,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame011.jpg
43,-14.6040,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame001.jpg
44,-14.6003,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame003.jpg
45,-14.5738,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame007.jpg
46,-14.4670,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame011.jpg
47,-14.3763,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame000.jpg
48,-14.1282,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame002.jpg
49,-13.6933,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-083d410a/frame010.jpg
50,-13.6932,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-083d410a/frame000.jpg
