rank,S1,subtype,y,path
28,-10.3858,replay,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s1vHR_4f214.png
29,-10.3414,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3vHR_2f118.png
30,-10.3347,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f216.png
31,-10.3006,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13vHR_3f106.png
32,-10.2725,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s11v5f108.png
33,-10.2636,replay,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s1vHR_4f144.png
34,-10.2624,replay,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s1vHR_4f213.png
35,-10.2250,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13vHR_3f1.png
36,-10.1945,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13vHR_3f7.png
37,-10.1902,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f173.png
38,-10.1734,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f234.png
39,-10.1333,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13vHR_2f253.png
40,-10.0871,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13vHR_3f130.png
41,-10.0841,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f235.png
42,-10.0727,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_3f104.png
43,-10.0323,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s11vHR_3f114.png
44,-10.0155,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s11vHR_3f2.png
45,-9.9956,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13vHR_3f102.png
46,-9.9733,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3vHR_2f136.png
47,-9.9641,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f160.png
48,-9.9339,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f202.png
49,-9.9141,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13vHR_3f87.png
50,-9.9086,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3vHR_2f115.png
